,Наименование ДОО,Январь_x,Итог,Тип собственности,Январь_y
141,МКДОУ Детский сад Соколенок с.Цилитль,19.0,,Муниципальная,19.0
142,МКОУ Верхнеинховская СОШ дошк. гр.,20.0,,Муниципальная,20.0
143,МКДОУ Хвереджская СОШ  детский сад Сказка,9.0,,Муниципальная,9.0
144,МКДОУ Аладашский детский сад Аленушка,30.0,,Муниципальная,30.0
145,МКОУ Аладашская СОШ ГКП,,,Муниципальная,9.0
146,МКОУ Икринская СОШ  ГКП,,,Муниципальная,10.0
147,МКДОУ Курахский детский сад №2 Аленушка,70.0,,Муниципальная,70.0
148,МКОУ Хпюкская СОШ гкп,,,Муниципальная,15.0
149,МКДОУ Шимихюрская СОШ детский сад Орленок,30.0,,Муниципальная,30.0
150,МКДОУ Моллакентский детский сад Ласточка,45.0,,Муниципальная,45.0
151,МКДОУ Кучхюрская СОШ  детский сад Заря,23.0,,Муниципальная,23.0
152,МКДОУ Курахский детский сад №1 Солнышко,70.0,,Муниципальная,70.0
153,МКДОУ Курахская СОШ №1детский сад Гияр №3,35.0,,Муниципальная,35.0
154,МКДОУ Кумукская СОШ детский сад Кард,27.0,,Муниципальная,27.0
155,МКДОУ Кабирский детский сад Улыбка,39.0,,Муниципальная,39.0
156,МКДОУ Икринский детский сад Мечта,45.0,,Муниципальная,45.0
157,МКДОУ Гельхенская СОШ  детский сад Родничок,15.0,,Муниципальная,15.0
158,МКДОУ Ашарская СОШ  детский сад Радуга,14.0,,Муниципальная,14.0
159,МКОУ Моллакентская СОШ ГКП,,,Муниципальная,10.0
160,МКОУ Курахская СОШ №2 ГКП деят. приост,0.0,,Муниципальная,0.0
161,МКОУ Гельхенская школадетсад гкп,,,Муниципальная,10.0
162,МКОУ Усугская СОШ ГКП,,,Муниципальная,7.0
163,МКДОУ ДС  Золотой луг с.Леваши,,,Муниципальная,90.0
164,МКДОУ ДС Звездочка с.Урма,80.0,,Муниципальная,80.0
165,МКОУ Аялакабская СОШсад с. Аялакаб,17.0,,Муниципальная,17.0
166,МКДОУ ДС Ласточка с.Мекеги  120 м.,,,Муниципальная,121.0
167,МКДОУ ДС  Журавлик с. Карлабко,45.0,,Муниципальная,45.0
168,МКДОУ ДС Непоседа с. Джангамахи 40 м.,,,Муниципальная,39.0
169,МКДОУ ДС  Ручеек с.Хахита,,,Муниципальная,55.0
170,МКДОУ ДС Райские птички с. Хахита,,,Муниципальная,74.0
171,МКДОУ ДС №4 Снежинка с.Леваши,,,Муниципальная,64.0
172,МКДОУ ДС Чебурашка с.Карекадани 40 м.,,,Муниципальная,35.0
173,МКДОУ ДС Улыбка с. Хаджалмахи,,,Муниципальная,157.0
174,МКДОУ ДС Теремок с.Кутиша,65.0,,Муниципальная,65.0
175,МКДОУ ДС Соколенок с.Кулецма,80.0,,Муниципальная,80.0
176,МКДОУ ДС Ромашка с.Какамахи,60.0,,Муниципальная,60.0
177,МКДОУ ДС Родничок с.Куппа 40 м.,,,Муниципальная,40.0
178,МКДОУ ДС  Ласточка с.Н.Чугли 60 м. ,,,Муниципальная,40.0
179,МКДОУ ДС Дубурлан с.В.Лабкомахи 40 м.,,,Муниципальная,42.0
180,МКДОУ ДС Березка с.АрадаЧугли,69.0,,Муниципальная,69.0
181,МКДОУ ДС №3 Сказка с.Леваши,,,Муниципальная,55.0
182,МКДОУ ДС №1 Солнышко с.Леваши,265.0,,Муниципальная,265.0
183,МКДОУ ДС Орленок с. Урма,80.0,,Муниципальная,80.0
184,МКДОУ ДС Радость с.Урма,,,Муниципальная,77.0
185,МКДОУ ДС №2 Радуга  с.Леваши,162.0,,Муниципальная,162.0
186,МКДОУ Детский сад Львенок с.Кутиша,79.0,,Муниципальная,79.0
187,МКДОУ ДС Шолпан с.Нариман,76.0,,Муниципальная,76.0
188,МКДОУ ДС Алтынай с.Кумли,,,Муниципальная,39.0
189,МКДОУ ДС Карлыгашлар с.Кунбатар,81.0,,Муниципальная,81.0
190,МКДОУ ДС Лашын с.БатырМурза,18.0,,Муниципальная,18.0
191,МКДОУ ДС Юлдыз с.ТереклиМектеб,250.0,,Муниципальная,250.0
192,МКДОУ ДС Юлдуз  с. Ортатюбе,42.0,,Муниципальная,42.0
193,МКДОУ ДС Ногай Эл с.ТереклиМектеб,,,Муниципальная,398.0
194,МКДОУ ДС Кызыл Гуьль с. Червленные Буруны,73.0,,Муниципальная,73.0
195,МКДОУ ДС Куьпелек с.Боранчи,24.0,,Муниципальная,24.0
196,МКДОУ ДС Алтын Кус с.Карагас,78.0,,Муниципальная,78.0
197,МКДОУ ДС Айсылув с.ТереклиМектеб,98.0,,Муниципальная,98.0
198,МКДОУ Детский сад Звездочка с. Хиндах,11.0,,Муниципальная,11.0
199,МКДОО Детский сад Колосок с. Мочох,,,Муниципальная,17.0
200,МКДОО Детский сад Огонек с.Ках,,,Муниципальная,14.0
201,МКДОУ Детский сад №3 Ласточка с. Хунзах,60.0,,Муниципальная,60.0
202,МКДОУ  Детский сад Колокольчик с.Чондотль 15 мест,,,Муниципальная,10.0
203,МКДОУ Детский сад Сказка с. Цельмес,16.0,,Муниципальная,16.0
204,МКДОУ Детский сад Жаворонок с. Буцра,28.0,,Муниципальная,28.0
205,МКДОУ Детский сад Радость с.Хини,7.0,,Муниципальная,7.0
206,МКДОУ Детский сад Соколенок с. Сиух,6.0,,Муниципальная,6.0
207,МКДОУ Детский сад Елочка с. Тлайлух,27.0,,Муниципальная,27.0
208,МКДОУ Детский сад Зайчонок с. Заиб,13.0,,Муниципальная,13.0
209,МКДОУ Детский сад Фиалка с. Орота,37.0,,Муниципальная,37.0
210,МКДОУ Детский сад Улыбка с. Шотода,16.0,,Муниципальная,16.0
211,МКДОУ Детский сад Ручеек с. Гортколо,7.0,,Муниципальная,7.0
212,МКДОУ Детский сад Росинка с. Тануси,55.0,,Муниципальная,55.0
213,МКДОУ Детский сад Ромашка с. Обода,113.0,,Муниципальная,113.0
214,МКДОУ Детский сад Родничок с. Новобуцра,40.0,,Муниципальная,40.0
215,МКДОУ Детский сад Орленок с. Уздалросо,52.0,,Муниципальная,52.0
216,МКДОУ Детский сад Олененок с. Харахи,56.0,,Муниципальная,56.0
217,МКДОУ Детский сад Ласточка с.Батлаич,46.0,,Муниципальная,46.0
218,МКДОУ Детский сад Капелька с. Малый Гоцатль,51.0,,Муниципальная,51.0
219,МКДОУ Детский сад №1 Аленушка с. Гоцатль,48.0,,Муниципальная,48.0
220,МКДОУ Детский сад Березка с.Арани,64.0,,Муниципальная,64.0
221,МКДОУ Детский сад Теремок с.Ахалчи,51.0,,Муниципальная,51.0
222,МКДОУ Детский сад Павлин с.Гоцалух,32.0,,Муниципальная,32.0
223,МКДОУ Детский сад Огонек с. Очло,14.0,,Муниципальная,14.0
224,МКДОУ Детский сад Лягушонок с. Гонох,16.0,,Муниципальная,16.0
225,МКДОУ Детский сад №2 Ивушка с. Гоцатль,66.0,,Муниципальная,66.0
226,МКДОУ Детский сад №1 Малыш с.Хунзах,113.0,,Муниципальная,113.0
227,МКДОУ Школа  сад Орешек НОШ с. Коло,31.0,,Муниципальная,31.0
228,МКДОУ Детский сад Чебурашка с. Тагада,46.0,,Муниципальная,46.0
229,МКДОУ Детский сад им. Фазу Алиевой с. Гиничутль,12.0,,Муниципальная,12.0
230,МКДОУ Детский сад Имама Шамиля с. Амущи,57.0,,Муниципальная,57.0
231,МКДОУ Детский сад Золушка с.Байтль,7.0,,Муниципальная,7.0
232,МКДОУ Детский сад Журавушка с. Хариколо,13.0,,Муниципальная,13.0
233,МКДОУ Детский сад Журавленок с. Цада,47.0,,Муниципальная,47.0
234,МКДОУ Детский сад Буратино с. Мущули,17.0,,Муниципальная,17.0
235,МКДОУ Детский сад №2 ЦРР Солнышко с. Хунзах,97.0,,Муниципальная,97.0
236,МКДОУ Архитский детский сад Улыбка,,,Муниципальная,55.0
237,МКДОУ Межгюльский детсад Родничок,28.0,,Муниципальная,28.0
238,МКДОУ Ляхлинский детсад Тюльпан,19.0,,Муниципальная,19.0
239,МКДОУ Кандикский детсад Чебурашка,44.0,,Муниципальная,44.0
240,МКДОУ Захитский детсад Ягодка,64.0,,Муниципальная,64.0
241,МКДОУ Хивский детсад №1 Солнышко,160.0,,Муниципальная,160.0
242,МКДОУ Фригский детсад Ласточка,46.0,,Муниципальная,46.0
243,МКДОУ Яракский детсад Радуга,21.0,,Муниципальная,21.0
244,МКДОУ Хивский д.с. №2 Ромашка с.Хив,,,Муниципальная,98.0
245,МКДОУ Хореджский детсад Дюймовочка на реконстр.,0.0,,Муниципальная,0.0
246,МКДОУ Детский сад №18 с.Хоточ,61.0,,Муниципальная,61.0
247,МКДОУ Детский сад №19 с. Чох,22.0,,Муниципальная,22.0
248,МКДОУ Детский сад №15 с.Согратль,37.0,,Муниципальная,37.0
249,МКДОУ Детский сад №21 с. Шулани,21.0,,Муниципальная,21.0
250,МКДОУ Детский сад № 3 с.Гуниб,92.0,,Муниципальная,92.0
251,МКДОУ Детский сад №17 с. Хиндах,67.0,,Муниципальная,67.0
252,МКДОУ  Детский сад № 2 с. Бухты,23.0,,Муниципальная,23.0
253,МКДОУ Детский сад №7 с. Кудали,22.0,,Муниципальная,22.0
254,МКДОУ Детский сад №9 с.Нижний Кегер,15.0,,Муниципальная,15.0
255,МКДОУ Детский сад №1 с.Бацада,46.0,,Муниципальная,46.0
256,МКДОУ Детский сад №12 с. Ругуджа,20.0,,Муниципальная,20.0
257,МКДОУ Детский сад №8 с.Нижний Гуниб,35.0,,Муниципальная,35.0
258,МКДОУ Детский сад №20 с.ЧохКоммуна,33.0,,Муниципальная,33.0
259,МКДОУ Детский сад №10 с.Мегеб,35.0,,Муниципальная,35.0
260,МКДОУ детский сад №16 с. Унты,15.0,,Муниципальная,15.0
261,МКДОУ Детский сад №4 с. Гонода,30.0,,Муниципальная,30.0
262,МКДОУ Детский сад №5 с. Кегер,18.0,,Муниципальная,18.0
263,МКДОУ Детский сад №13 с.Салта,11.0,,Муниципальная,11.0
264,МКДОУ Детский сад №6 с.Корода,35.0,,Муниципальная,35.0
265,МКДОУ ДС №1 Ромашка с.Унцукуль,150.0,,Муниципальная,150.0
266,МКДОУ ДС №10 Снежинка с.Кахабросо,50.0,,Муниципальная,50.0
267,МКДОУ  ДС №8 Солнышко пгт.Шамилькала,141.0,,Муниципальная,141.0
268,МКДОУ ДС №6 Звездочка с.Балахани,50.0,,Муниципальная,50.0
269,МКДОУ ДС №9 Сказка пгт. Шамилькала,,,Муниципальная,289.0
270,МКДОУ ДС №3 Фиалка с.Ирганай,109.0,,Муниципальная,109.0
271,МКДОУ ДС №13 Колобок с. Гимры,,,Муниципальная,90.0
272,МКДОУ ДС №4 Теремок с. Гимры,192.0,,Муниципальная,192.0
273,МКДОУ ДС №7 Улыбка с.Аракани,49.0,,Муниципальная,49.0
274,МКДОУ ДС №5 Соколенок с.Майданское,117.0,,Муниципальная,117.0
275,МКДОУ ДС №11 Сосна с.Ашильта,67.0,,Муниципальная,67.0
276,МКДОУ ДС №12 Чебурашка с.Цатаних,34.0,,Муниципальная,34.0
277,МКДОУ ДС №2 Ласточка с. Унцукуль,232.0,,Муниципальная,232.0
278,МКОУ Цулдинская ООШДетский сад с.Цулда,,,Муниципальная,25.0
279,МКОУ Цурибская СОШДетский сад Радуга с.Цуриб,,,Муниципальная,228.0
280,МКОУ Тлярошская СОШДетский сад с.Тлярош,,,Муниципальная,38.0
281,МКОУ Магарская СОШДетский сад с.Магар,,,Муниципальная,20.0
282,МКОУ Ирибская СОШ Детский сад. с.Ириб,,,Муниципальная,30.0
283,МКОУ Гочобская СОШДетский сад с.Гочоб,,,Муниципальная,24.0
284,МКОУ Гилибская СОШ Детский сад с.Гилиб,,,Муниципальная,76.0
285,МБДОУ Детский сад №18 Ясмина с. Н.Параул,120.0,,Муниципальная,120.0
286,МБДОУ ДС №17 Анжи  с.Губден,60.0,,Муниципальная,60.0
287,МБДОУ ДС №21 Волшебник с.Губден ,,,Муниципальная,60.0
288,МБДОУ ДС №2 Юлдуз с.Карабудахкент,254.0,,Муниципальная,254.0
289,МБДОУ Детский сад №7 Ласточка с.Параул,118.0,,Муниципальная,118.0
290,МБДОУ Детский сад №10 Чебурашка пгт.Манас,196.0,,Муниципальная,196.0
291,МБДОУ Детский сад №23 Страна чудес с.Гурбуки,,,Муниципальная,150.0
292,МБДОУ Детский сад №6 Теремок с.Доргели,120.0,,Муниципальная,120.0
293,МБДОУ ДС №9 Ромашка пгт.Манас,62.0,,Муниципальная,62.0
294,МБДОУ ДС №13 Родничок с.Гурбуки,80.0,,Муниципальная,80.0
295,МБДОУ Детский сад №3 Бекенез с.Карабудахкент,283.0,,Муниципальная,283.0
296,МБДОУ ДС №16 Золушка с.Карабудахкент,69.0,,Муниципальная,69.0
297,МКДОУ ДС №1 Солнышко с.Карабудахкент кап.рем.,19.0,,Муниципальная,19.0
298,МБДОУ ДС №5 Лачин с.Зеленоморск,82.0,,Муниципальная,82.0
299,МБДОУ Детский сад №4 Улыбка с.Какашура,126.0,,Муниципальная,126.0
300,МБДОУ ДС №19 Карапуз с. Манаскент,,,Муниципальная,90.0
301,МБДОУ Детский сад №8 Ручеек с.Гели,135.0,,Муниципальная,135.0
302,МБДОУ Детский сад №22 Замок детства с.Гурбуки,,,Муниципальная,150.0
303,МБДОУ ДС №15 Звездочка с.Агачаул,70.0,,Муниципальная,70.0
304,МБДОУ ДС №12 Фиалка с.Уллубийаул,255.0,,Муниципальная,255.0
305,МБДОУ ДС №14 Сказка с.Карабудахкент,89.0,,Муниципальная,89.0
306,МБДОУ Детский сад №20 Счастливый малыш с.Агачаул,120.0,,Муниципальная,120.0
307,МБДОУ ДС №15  Счастливое детство пгт.Ачису,83.0,,Муниципальная,83.0
308,МБДОУ Детский сад №11 Ласточка с.Манаскент,126.0,,Муниципальная,126.0
309,МКДОУ ДС №1 с. Уркарах,52.0,,Муниципальная,52.0
310,МКОУ Дибгашинская СОШ гкп,,,Муниципальная,14.0
311,МКОУ Трисанчинская СОШ гкп,,,Муниципальная,20.0
312,МКОУ Новоуркарахская СОШ гкп,,,Муниципальная,16.0
313,МКОУ Ирагинская  СОШ гкп,,,Муниципальная,20.0
314,МКОУ Морская СОШ гкп,,,Муниципальная,21.0
315,МКОУ Уркарахсая начальная школа  детский сад им. Р.Рамазанова,,,Муниципальная,62.0
316,МКДОУ Кубачинская школасад НОШ пгт. Кубачи,40.0,,Муниципальная,40.0
317,МКДОУ Детский яслисад №2 с. Уркарах,69.0,,Муниципальная,69.0
318,МКДОУ Радуга с.Кища,70.0,,Муниципальная,70.0
319,МКДОУ Олимп с.Меусеша ,,,Муниципальная,65.0
320,МКДОУ ОВ Детский сад Солнышко с. Уркарах,,,Муниципальная,150.0
321,МКОУ Калкнинская  СОШ гкп,,,Муниципальная,20.0
322,МБДОУ ДС № 24 Ромашка,370.0,,Муниципальная,370.0
323,МБДОУ ЦРРДС  № 1  Василек,164.0,,Муниципальная,164.0
324,МКДОУ ДС № 12 Юлдуз,203.0,,Муниципальная,203.0
325,МКДОУ ДС № 22 Солнышко,121.0,,Муниципальная,121.0
326,МБДОУ ЦРРДС № 29 Дельфинчик,460.0,,Муниципальная,460.0
327,МБДОУ ЦРРДС № 11 Светлячок,375.0,,Муниципальная,375.0
328,МБДОУ ДС №8 Дюймовочка,162.0,,Муниципальная,162.0
329,МБДОУ ЦРРДС № 28 Якорк,217.0,,Муниципальная,217.0
330,МБДОУ ЦРРДС № 23 Лесная сказка,233.0,,Муниципальная,233.0
331,МБДОУ ЦРРДС № 5 Гусельки,437.0,,Муниципальная,437.0
332,МБДОУ ДС №3 Аленушка,277.0,,Муниципальная,277.0
333,МБДОУ ДС № 16 Чебурашка,195.0,,Муниципальная,195.0
334,МБДОУ ДС № 26 Родничок,465.0,,Муниципальная,465.0
335,МБДОУ ЦРРДС № 14 Журавленок,387.0,,Муниципальная,387.0
336,МБДОУ ЦРРДС № 7 Ласточка,393.0,,Муниципальная,393.0
337,МБДОУ ДС №31 Улыбка,446.0,,Муниципальная,446.0
338,МБДОУ ДС №32 Соколенок зд Дагдизель,,,Муниципальная,125.0
339,МБДОУ ДС № 17 Буратино,386.0,,Муниципальная,386.0
340,МБДОУ ЦРРДС № 25 Джейран,407.0,,Муниципальная,407.0
341,МБДОУ ЦРРДС № 15 Незабудка,398.0,,Муниципальная,398.0
342,МБДОУ ДС № 21 Радуга,154.0,,Муниципальная,154.0
343,МБДОУ №33 Юбилейный,432.0,,Муниципальная,432.0
344,МБДОУ ДС №30 Звздочка,158.0,,Муниципальная,158.0
